term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),3.5679443038529296e-4,0.3921326691622227,-20.24404338523221,4.008911839451632e-91,1.6338934929785356e-4,7.603562599976363e-4
age,1.0586180198686312,0.0036437100585281915,15.63359919979705,4.2982326806682585e-55,1.0511820372048784,1.06630973427126
sexFemale,0.6437119229913356,0.0963263371112188,-4.573037766361479,4.807034524015977e-6,0.5326329775067676,0.7770875917636144
bmi,1.0752304350153066,0.00658605640246036,11.013418703015715,3.2926744269669836e-28,1.0615156697410804,1.0892958848864744
race_ethnicityMexican American,2.0018093489804367,0.16072407220546187,4.318279375049644,1.572503042460871e-5,1.4581752968944572,2.7392828933698854
race_ethnicityOther Hispanic,1.3079967066120086,0.18045862704533133,1.4878575745988751,0.13678845818929497,0.9130903882697458,1.8540675590760414
race_ethnicityNon-Hispanic Black,1.1478179872246312,0.12424395547213549,1.1096132370362288,0.2671657247355621,0.8988784608612421,1.4632624208257665
race_ethnicityNon-Hispanic Asian,2.5241741828076845,0.16142825480464662,5.7357614008740585,9.707524298061667e-9,1.8366738787211279,3.4599561926286815
race_ethnicityOther Race - Including Multi-Racial,1.4752275921697569,0.2191461255630073,1.7742147011087128,0.07602764340965765,0.9499952636325277,2.2470770601314443
educationLess than 9th grade,1.791112889938798,0.1985465310616339,2.9355191942530134,0.0033299000949986468,1.212431460012201,2.6417361920531106
education9-11th grade (Includes 12th grade with no diploma),1.4636377688759752,0.18062026333707937,2.108982415678851,0.03494609948214109,1.0259787840224626,2.0837433634189737
educationHigh school graduate/GED or equivalent,1.319403017258106,0.15055494866300217,1.841051238146396,0.06561405043179702,0.9829325757396294,1.774094098078681
educationSome college or AA degree,1.2840388628085893,0.13958617599250212,1.7910833219476225,0.07327992510587024,0.9779345498628443,1.6907731659868919
income_ratio,0.9877640308641743,0.033196301671198206,-0.3708679671485075,0.7107358749103942,0.9254007958084444,1.054055114637973
hypertensionYes,2.513074590012747,0.1009927528201045,9.124485807638909,7.207759637362229e-20,2.0636763151259236,3.0664650173064514
smokingEver smoker,1.0853123557816524,0.09869428674193273,0.8295093239637364,0.4068162629602893,0.8942615259990359,1.3168492112757513
