term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),4.2526744478141304e-4,0.36358342168285196,-21.35078730813912,3.8342479485131524e-101,2.0625253768439517e-4,8.581353830936967e-4
age,1.0557405158667852,0.0033010313648545414,16.43196488697044,1.1293935353107098e-60,1.0490091997121656,1.0626763583718006
sexFemale,0.6804497146849916,0.08920918147275594,-4.315714458123241,1.590875154202022e-5,0.5710330222998262,0.8101684531359263
bmi,1.0874792484950706,0.0063398166917385595,13.227890652471025,6.056328079793445e-40,1.0741566500697886,1.1011957571126514
race_ethnicityMexican American,2.1315945803836582,0.14911924454304332,5.07560463604573,3.8626571859084255e-7,1.5896414961872003,2.853101093628468
race_ethnicityOther Hispanic,1.5393452211750633,0.16510036817118906,2.612696444795476,0.008983105004595102,1.1099944350459396,2.1214948247850964
race_ethnicityNon-Hispanic Black,1.494418513741528,0.11626844567821969,3.45525542048789,5.497717331647871e-4,1.189511580174856,1.8766507220718283
race_ethnicityNon-Hispanic Asian,2.9854354393119005,0.15009544435716818,7.2870007261474266,3.1693119936832495e-13,2.2233460348238503,4.005798069317044
race_ethnicityOther Race - Including Multi-Racial,1.6795743988245646,0.20450755002755364,2.5355563998386357,0.011226884842889584,1.1164975273888398,2.4923317665153593
educationLess than 9th grade,2.2238275238088288,0.1851049851415996,4.317710949412775,1.5765570603435743e-5,1.5470522678610477,3.197384680985601
education9-11th grade (Includes 12th grade with no diploma),1.3780142766775416,0.16845041724658558,1.903489099121996,0.05697675475456558,0.9894720466355177,1.9157403110274465
educationHigh school graduate/GED or equivalent,1.2897764984275861,0.13940242134128633,1.82542701827951,0.06793661519092718,0.9817700054318056,1.6960392297784355
educationSome college or AA degree,1.236503970348,0.12814779727398037,1.656587342481112,0.09760293313600996,0.9626480783243451,1.5912119566811826
income_ratio,0.9945491530586159,0.030878024443457892,-0.17701122764337793,0.859499570458562,0.9360527311588878,1.0565349335795369
hypertensionYes,2.221930792089449,0.09254570893294392,8.626834817770286,6.307316706231039e-18,1.8541200196958718,2.6652187294585876
smokingEver smoker,0.976978666406508,0.09203451851781562,-0.25306225718495423,0.8002201041514367,0.8154772851578761,1.1698641296086065
