outcome,term,estimate,conf.low,conf.high,p.value
Self-reported,age,1.0586180198686312,1.0511820372048784,1.06630973427126,4.2982326806682585e-55
Self-reported,sexFemale,0.6437119229913356,0.5326329775067676,0.7770875917636144,4.807034524015977e-6
Self-reported,bmi,1.0752304350153066,1.0615156697410804,1.0892958848864744,3.2926744269669836e-28
Self-reported,race_ethnicityMexican American,2.0018093489804367,1.4581752968944572,2.7392828933698854,1.572503042460871e-5
Self-reported,race_ethnicityOther Hispanic,1.3079967066120086,0.9130903882697458,1.8540675590760414,0.13678845818929497
Self-reported,race_ethnicityNon-Hispanic Black,1.1478179872246312,0.8988784608612421,1.4632624208257665,0.2671657247355621
Self-reported,race_ethnicityNon-Hispanic Asian,2.5241741828076845,1.8366738787211279,3.4599561926286815,9.707524298061667e-9
Self-reported,race_ethnicityOther Race - Including Multi-Racial,1.4752275921697569,0.9499952636325277,2.2470770601314443,0.07602764340965765
Self-reported,educationLess than 9th grade,1.791112889938798,1.212431460012201,2.6417361920531106,0.0033299000949986468
Self-reported,education9-11th grade (Includes 12th grade with no diploma),1.4636377688759752,1.0259787840224626,2.0837433634189737,0.03494609948214109
Self-reported,educationHigh school graduate/GED or equivalent,1.319403017258106,0.9829325757396294,1.774094098078681,0.06561405043179702
Self-reported,educationSome college or AA degree,1.2840388628085893,0.9779345498628443,1.6907731659868919,0.07327992510587024
Self-reported,income_ratio,0.9877640308641743,0.9254007958084444,1.054055114637973,0.7107358749103942
Self-reported,hypertensionYes,2.513074590012747,2.0636763151259236,3.0664650173064514,7.207759637362229e-20
Self-reported,smokingEver smoker,1.0853123557816524,0.8942615259990359,1.3168492112757513,0.4068162629602893
Biomarker-confirmed,age,1.0557405158667852,1.0490091997121656,1.0626763583718006,1.1293935353107098e-60
Biomarker-confirmed,sexFemale,0.6804497146849916,0.5710330222998262,0.8101684531359263,1.590875154202022e-5
Biomarker-confirmed,bmi,1.0874792484950706,1.0741566500697886,1.1011957571126514,6.056328079793445e-40
Biomarker-confirmed,race_ethnicityMexican American,2.1315945803836582,1.5896414961872003,2.853101093628468,3.8626571859084255e-7
Biomarker-confirmed,race_ethnicityOther Hispanic,1.5393452211750633,1.1099944350459396,2.1214948247850964,0.008983105004595102
Biomarker-confirmed,race_ethnicityNon-Hispanic Black,1.494418513741528,1.189511580174856,1.8766507220718283,5.497717331647871e-4
Biomarker-confirmed,race_ethnicityNon-Hispanic Asian,2.9854354393119005,2.2233460348238503,4.005798069317044,3.1693119936832495e-13
Biomarker-confirmed,race_ethnicityOther Race - Including Multi-Racial,1.6795743988245646,1.1164975273888398,2.4923317665153593,0.011226884842889584
Biomarker-confirmed,educationLess than 9th grade,2.2238275238088288,1.5470522678610477,3.197384680985601,1.5765570603435743e-5
Biomarker-confirmed,education9-11th grade (Includes 12th grade with no diploma),1.3780142766775416,0.9894720466355177,1.9157403110274465,0.05697675475456558
Biomarker-confirmed,educationHigh school graduate/GED or equivalent,1.2897764984275861,0.9817700054318056,1.6960392297784355,0.06793661519092718
Biomarker-confirmed,educationSome college or AA degree,1.236503970348,0.9626480783243451,1.5912119566811826,0.09760293313600996
Biomarker-confirmed,income_ratio,0.9945491530586159,0.9360527311588878,1.0565349335795369,0.859499570458562
Biomarker-confirmed,hypertensionYes,2.221930792089449,1.8541200196958718,2.6652187294585876,6.307316706231039e-18
Biomarker-confirmed,smokingEver smoker,0.976978666406508,0.8154772851578761,1.1698641296086065,0.8002201041514367
