term,estimate,std.error,statistic,p.value,conf.low,conf.high,predictor
(Intercept),0.008105496505045115,0.18501447095359896,-26.026141856620026,2.5062437891624994e-149,0.005601392731525232,0.011571082815449647,age
age,1.057741664356976,0.0029369281582608386,19.11389282279603,1.9348264416072808e-81,1.0517481815268015,1.0639305770404843,age
(Intercept),0.22847100175745577,0.05612419449683737,-26.304983027489158,1.6818230470671046e-152,0.20440585261888566,0.2547221131214042,sex
sexFemale,0.7049316814725585,0.08296519159959041,-4.214470910472044,2.5036441754893396e-5,0.598891227041443,0.8291539767183307,sex
(Intercept),0.03770233431325131,0.16909363564806135,-19.38590565965648,1.0150242776668398e-83,0.027004070995894514,0.05241025846611762,bmi
bmi,1.0545121618784101,0.005181586757082337,10.243629349734336,1.2640373274976185e-24,1.04387235130893,1.0653038855037575,bmi
(Intercept),0.1883842144452935,0.06853590889064086,-24.356162117280316,4.988203096253838e-131,0.16435673654978084,0.21503741393388479,race_ethnicity
race_ethnicityMexican American,1.1914185331576876,0.1296934152433216,1.3504513050569118,0.17687126335688558,0.9210299435317627,1.532024158877458,race_ethnicity
race_ethnicityOther Hispanic,0.9651455264103437,0.15834565432170594,-0.22404394105212824,0.822723112155786,0.7023471459486453,1.307877038969639,race_ethnicity
race_ethnicityNon-Hispanic Black,1.0473484848484962,0.11015371590280837,0.419974191854791,0.6745043073028667,0.8428794522890973,1.2983895593472548,race_ethnicity
race_ethnicityNon-Hispanic Asian,0.9464411557434936,0.13230540534223384,-0.4160561731729979,0.6773688990999198,0.7274044087567344,1.2224867645137056,race_ethnicity
race_ethnicityOther Race - Including Multi-Racial,0.9850454341713841,0.1939834728234658,-0.07767420900447272,0.9380872103406084,0.6644466906746521,1.4243281546362083,race_ethnicity
(Intercept),0.137744034724137,0.09464931025364037,-20.944242822926388,2.1173775900980545e-97,0.11390579947535476,0.16512621454273865,education
educationLess than 9th grade,2.7070599222674243,0.1567143651717216,6.354638551089915,2.0891727136232222e-10,1.987870317036694,3.676711838648292,education
education9-11th grade (Includes 12th grade with no diploma),1.6896308675442246,0.15001681593217928,3.4963419283820576,4.716838625585208e-4,1.2568745048680328,2.2644650811450666,education
educationHigh school graduate/GED or equivalent,1.4453233389809077,0.12589592180049247,2.925694933290149,0.003436877805186238,1.1303828001091998,1.8523759368683135,education
educationSome college or AA degree,1.3205145651459924,0.11960946470859794,2.324410391728011,0.02010350913950584,1.0462858195576379,1.672769587525446,education
(Intercept),0.2097874477320217,0.076504268386875,-20.412722681013644,1.2890035957396173e-92,0.18031062149789495,0.24338744516838043,income_ratio
income_ratio,0.9667860475929074,0.025897275576940885,-1.3043094703383808,0.19212808763068598,0.9187395026539997,1.0169419373792965,income_ratio
(Intercept),0.08539505187551522,0.07121752170892977,-34.54862035904654,1.4950055142757274e-261,0.07406126834425222,0.09792487666637359,hypertension
hypertensionYes,5.037903305701563,0.08949142816414245,18.068657724262216,5.626602167869187e-73,4.233284283127725,6.0130097586083915,hypertension
(Intercept),0.16245318352061677,0.05787924724809512,-31.39925805087125,2.0711203010159936e-216,0.14480161454261653,0.18169303536179315,smoking
smokingEver smoker,1.450791835669356,0.08270818676144977,4.499064911385147,6.825301654218075e-6,1.2336825796707744,1.706284661926397,smoking
