term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),1.7824271400226454e-4,0.598420717541341,-14.425243180307405,3.590023279445816e-47,5.5160194383644835e-5,5.759672432248192e-4
age,1.0578048464916063,0.00487321064630588,11.531588800263972,9.144042824659809e-31,1.0477493300903058,1.0679568682374514
sexFemale,0.6573784358808644,0.19427053058552538,-2.1593363602495956,0.030824081220301818,0.4492096110745771,0.9620150533453913
bmi,1.0858269749669778,0.00910262658873604,9.045947868004932,1.4837224960856936e-19,1.0666263648489833,1.1053732201086814
race_ethnicityMexican American,1.7367897091729676,0.23900748243706874,2.30971184989775,0.020904112327003958,1.0871762612120253,2.7745625079472225
race_ethnicityOther Hispanic,1.0431549450563322,0.20832156776759092,0.2028101196571571,0.8392834479701946,0.6934608103743841,1.5691906782850489
race_ethnicityNon-Hispanic Black,1.052233089519276,0.16347960250611537,0.31144348883008577,0.755463497309794,0.7637571833632797,1.4496681652192664
race_ethnicityNon-Hispanic Asian,2.480099098984157,0.26172832189511724,3.4703868196974477,5.197093180056288e-4,1.4848459176779982,4.142444322034969
race_ethnicityOther Race - Including Multi-Racial,1.3205313622118497,0.18105769537835928,1.5356110777125316,0.12463379563988937,0.9260390448005584,1.8830772723634428
educationLess than 9th grade,2.5144749381242053,0.29837746459465836,3.0902602208607455,0.0019998120255366,1.4010811366098948,4.512646733474033
education9-11th grade (Includes 12th grade with no diploma),1.9506568565603706,0.36492809711473717,1.8309529210151614,0.06710757034588737,0.9539987622446631,3.9885399464178106
educationHigh school graduate/GED or equivalent,1.6683492247557796,0.2691224674675709,1.9018651775832278,0.05718878268108123,0.9844763664242908,2.8272787754699866
educationSome college or AA degree,1.5490067202637776,0.1980470577174592,2.209646055447528,0.027129736318806868,1.050684300599456,2.283675332403256
income_ratio,1.0231346769922234,0.05013574500476539,0.4561840532357708,0.6482576316843236,0.927377162299168,1.1287797563061905
hypertensionYes,2.9725170747861154,0.1267991605479838,8.591611246551192,8.575812062373556e-18,2.318412627336724,3.8111670268312827
smokingEver smoker,1.1100959030308626,0.16979272747583696,0.6151406616271011,0.5384618309745051,0.7958477859265652,1.5484278975422252
