model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Basic,treatmentTest,0.996352435002626,0.18251353458097688,-0.020021712866254357,0.9840260516737288,0.6967182460404356,1.424848825730405
Basic,age,1.007555662930506,0.00966128291648373,0.7791161840392249,0.43591127742497343,0.9886563255347747,1.0268162835596242
Clinical,treatmentTest,1.3539795826962902,0.20565590078699766,1.4735686842306912,0.14059775818571327,0.9048102157532301,2.0261273341529193
Clinical,age,0.991136350684298,0.009224283189001948,-0.9651877494498565,0.33445078177960275,0.9733783456122971,1.0092183271550448
Clinical,karno,0.9678429150256523,0.005408849633627959,-6.042963837797725,1.5130857700583334e-9,0.9576368601875813,0.9781577413194684
Clinical,cell_typeSmall Cell,2.3545282192546755,0.27132236351201655,3.1561732132513174,0.0015985390000639828,1.3834194756484854,4.0073189895406855
Clinical,cell_typeAdenocarcinoma,3.2504941449831795,0.2964404777398923,3.9765386912801204,6.992562610002882e-5,1.8181043083950705,5.811389444369561
Clinical,cell_typeLarge Cell,1.4953079866614323,0.2825436509010853,1.4239647413308525,0.15445667890001955,0.8594667131573447,2.601550404156404
Full,treatmentTest,1.3425930037097646,0.2075496036035191,1.4194333132550663,0.15577272596683725,0.8938771525008186,2.0165589517165308
Full,age,0.9913313166504782,0.009300299120314845,-0.9361499918610697,0.34919596671002917,0.973424778519701,1.0095672527120505
Full,karno,0.9677172551166509,0.00550775688646227,-5.958020092532526,2.5531213362743472e-9,0.9573269251135825,0.9782203563734471
Full,cell_typeSmall Cell,2.3668511966491383,0.27528447402269196,3.129709606084558,0.0017497918726483096,1.3799024498653942,4.059696094913026
Full,cell_typeAdenocarcinoma,3.3070824781998063,0.3009169944930763,3.974738536098127,7.045661593852107e-5,1.833597533988815,5.964664717793456
Full,cell_typeLarge Cell,1.4937528644670162,0.2826886382808546,1.419553529887464,0.155737702327392,0.8583289206649678,2.599583407226657
Full,diagtime,1.0000813238196489,0.009136062247771973,0.008901046297715282,0.9928980863633277,0.9823328936994306,1.0181504260600338
Full,prior_therapyYes,1.0742186949012775,0.23230538406730547,0.3081874412104159,0.7579397081631621,0.6813244978838664,1.6936801891895235
