term,median_beta,lower_95,upper_95,probability_or_greater_than_1,acceptance_rate,prior_sd,odds_ratio,or_lower_95,or_upper_95,variable
(Intercept),-1.9953256993406807,-2.7158566529986805,-1.2583888777511536,0,0.6962,1.5,0.13596936182274863,0.0661482626210137,0.2841113961531178,Intercept
age_z,-0.20930566376787318,-0.6117402198015552,0.16558791653119284,0.14335,0.6962,1.5,0.8111472594190545,0.5424061413882725,1.1800867072887733,Age (standardized)
hypertensionYes,1.4319226900687834,0.40461519002380397,2.772180640229661,0.99675,0.6962,1.5,4.18674126408868,1.4987256644905678,15.993472019904287,Hypertension: Yes vs No
lwt_z,-0.4267865610860774,-0.8225379867487972,-0.07003063287533087,0.0073,0.6962,1.5,0.6526028282027897,0.43931526209694116,0.9323652584397659,Maternal weight (standardized)
previous_preterm_laborYes,1.1609028263012595,0.3790395808957407,1.9707175952608704,0.99855,0.6962,1.5,3.192814532218312,1.4608808575720176,7.175823978498266,Previous preterm labor: Yes vs No
raceBlack,0.9357520241150775,-0.009521882561777505,2.0069158589559946,0.97375,0.6962,1.5,2.549129744141959,0.9905233070182865,7.440334882762294,Black vs White
raceOther,0.7466555712860399,-0.18219467640346593,1.4216864428942362,0.9422,0.6962,1.5,2.1099316873197753,0.8334390737001216,4.144103344099742,Other race vs White
smokingYes,0.7788634084196053,0.04697887808858844,1.516499607487706,0.9856,0.6962,1.5,2.178994231011707,1.0480998709732317,4.556248590810753,Smoking: Yes vs No
uterine_irritabilityYes,0.5811776848075967,-0.19037705552879114,1.407442526490931,0.91985,0.6962,1.5,1.7881430601275234,0.8266473832071874,4.08549349036684,Uterine irritability: Yes vs No
(Intercept),-2.169449204303742,-2.9850570702792623,-1.5272033889747043,0,0.697,2.5,0.1142405227733888,0.0505366193278558,0.21714208090682807,Intercept
age_z,-0.22051974869998892,-0.6350587160789579,0.17098150997186295,0.13225,0.697,2.5,0.8021017982374407,0.5299043734970729,1.1864688109771961,Age (standardized)
hypertensionYes,1.8392064361157576,0.4614664546629761,3.52599011543058,0.9996,0.697,2.5,6.291543537745076,1.58639866177623,33.98740841985267,Hypertension: Yes vs No
lwt_z,-0.463350264496426,-0.9182405283572975,-0.06320207362000992,0.00985,0.697,2.5,0.6291722172187618,0.3992208412540787,0.9387537571514195,Maternal weight (standardized)
previous_preterm_laborYes,1.3133714447732303,0.44794458898283146,2.2559340407004735,0.9993,0.697,2.5,3.7186899592631297,1.565091969912748,9.544203822932374,Previous preterm labor: Yes vs No
raceBlack,1.1607398022103212,0.14099723353849702,2.1473290676707166,0.98755,0.697,2.5,3.19229406895684,1.1514214626171881,8.56195941577064,Black vs White
raceOther,0.754036204234656,0.015180733330798139,1.6616662417660897,0.977,0.697,2.5,2.125561928232997,1.0152965459611216,5.268081432767858,Other race vs White
smokingYes,0.8369601379480092,0.09758469667327073,1.6439918870388344,0.9853,0.697,2.5,2.309336232370574,1.1025048160992026,5.17578949553371,Smoking: Yes vs No
uterine_irritabilityYes,0.6691472826686033,-0.3281543117017353,1.6256499325118388,0.91795,0.697,2.5,1.9525716188902762,0.7202518678381009,5.081720739646751,Uterine irritability: Yes vs No
(Intercept),-2.231090723533163,-2.9471166678684857,-1.444172404319056,0,0.7067666666666667,5,0.1074112102854076,0.052490836479402246,0.23594125974586286,Intercept
age_z,-0.2257890370402823,-0.6221857607204884,0.13243237718227993,0.1249,0.7067666666666667,5,0.7978864083900402,0.5367699038656358,1.141601815147487,Age (standardized)
hypertensionYes,1.963810610447079,0.6320652998247189,3.3659413900064585,0.99005,0.7067666666666667,5,7.126431444355628,1.8814924152623724,28.960747828935148,Hypertension: Yes vs No
lwt_z,-0.5019618323912332,-0.9636369487404765,-0.08581430891116305,0.00715,0.7067666666666667,5,0.6053419146586778,0.3815028534464635,0.9177646361129022,Maternal weight (standardized)
previous_preterm_laborYes,1.3606568438205167,0.517109102281414,2.277641145322478,1,0.7067666666666667,5,3.8987533329673227,1.6771721016317895,9.75364581952019,Previous preterm labor: Yes vs No
raceBlack,1.166398391725795,0.1041627458263044,2.1780229028395257,0.9801,0.7067666666666667,5,3.210409155288029,1.1097810524538347,8.828833530068795,Black vs White
raceOther,0.7827305548884768,-0.07627018496964254,1.5966598143008688,0.96335,0.7067666666666667,5,2.1874370351161785,0.9265658285764558,4.936515975682657,Other race vs White
smokingYes,0.8461763783327236,0.053848206622582044,1.593967247978174,0.9818,0.7067666666666667,5,2.3307180086668327,1.0553243987417225,4.923241957621711,Smoking: Yes vs No
uterine_irritabilityYes,0.6892329643470704,-0.2529260461369019,1.4773617731262068,0.9294,0.7067666666666667,5,1.9921868686923396,0.7765253067465415,4.381371368113121,Uterine irritability: Yes vs No
